time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,21,10,24,1
2026-02-08 00:00:00+00:00,9,5,0,0
2026-02-09 00:00:00+00:00,19,8,3,2
2026-02-10 00:00:00+00:00,20,10,0,0
2026-02-11 00:00:00+00:00,9,5,0,0
2026-02-12 00:00:00+00:00,21,6,0,0
2026-02-13 00:00:00+00:00,25,10,0,0
2026-02-14 00:00:00+00:00,27,12,3,3
2026-02-15 00:00:00+00:00,25,10,1,1
2026-02-16 00:00:00+00:00,19,8,1,1
2026-02-17 00:00:00+00:00,17,7,8,1
2026-02-18 00:00:00+00:00,23,7,0,0
2026-02-19 00:00:00+00:00,21,8,0,0
2026-02-20 00:00:00+00:00,19,8,0,0
